Alpha,Theta,Device,Sensor0,Visible0,IR0,Sensor1,Visible1,IR1,Sensor2,Visible2,IR2,Sensor3,Visible3,IR3,Sensor4,Visible4,IR4,Sensor5,Visible5,IR5,Sensor6,Visible6,IR6,Sensor7,Visible7,IR7,Sensor8,Visible8,IR8,Sensor9,Visible9,IR9,Sensor10,Visible10,IR10,Sensor11,Visible11,IR11,TempSensor0,Temp0,TempSensor1,Temp1,TempSensor2,Temp2,TempSensor3,Temp3
0,-175,BH1730,ch0,23816,15967,ch1,25030,16498,ch2,24895,15714,ch3,245,216,ch4,277,243,ch5,663,481,ch6,498,353,ch7,520,356,ch8,474,330,ch9,145,123,ch10,156,128,ch11,171,143,t0, 0, t1, 0, t2, 0, t3, 0
0,-170,BH1730,ch0,23623,16076,ch1,24647,16196,ch2,24542,15572,ch3,326,297,ch4,1574,928,ch5,3629,3115,ch6,492,352,ch7,509,348,ch8,502,351,ch9,143,119,ch10,155,124,ch11,156,129,t0, 0, t1, 0, t2, 0, t3, 0
0,-165,BH1730,ch0,23283,15766,ch1,24310,16268,ch2,23853,15296,ch3,586,515,ch4,4926,3647,ch5,5944,4637,ch6,517,370,ch7,490,338,ch8,502,354,ch9,146,119,ch10,160,126,ch11,159,130,t0, 0, t1, 0, t2, 0, t3, 0
0,-160,BH1730,ch0,22938,15820,ch1,24207,15767,ch2,23178,15043,ch3,983,817,ch4,7793,5477,ch5,8302,5935,ch6,581,415,ch7,499,344,ch8,463,329,ch9,151,121,ch10,168,130,ch11,164,131,t0, 0, t1, 0, t2, 0, t3, 0
0,-155,BH1730,ch0,22493,15037,ch1,23515,15002,ch2,22236,14334,ch3,1986,1522,ch4,10382,6985,ch5,10716,7183,ch6,645,460,ch7,512,354,ch8,434,312,ch9,158,123,ch10,178,134,ch11,175,137,t0, 0, t1, 0, t2, 0, t3, 0
0,-150,BH1730,ch0,21557,14412,ch1,22782,14666,ch2,21153,13363,ch3,13394,7135,ch4,13141,8438,ch5,13063,8413,ch6,582,422,ch7,538,371,ch8,416,304,ch9,173,131,ch10,192,142,ch11,190,146,t0, 0, t1, 0, t2, 0, t3, 0
0,-145,BH1730,ch0,20362,13409,ch1,21428,13663,ch2,19898,12242,ch3,16500,9649,ch4,15742,9902,ch5,15456,9863,ch6,475,344,ch7,472,330,ch8,392,292,ch9,192,142,ch10,212,154,ch11,221,166,t0, 0, t1, 0, t2, 0, t3, 0
0,-140,BH1730,ch0,18823,12574,ch1,19888,13186,ch2,18477,11411,ch3,18655,11495,ch4,18021,11484,ch5,17814,11259,ch6,547,400,ch7,444,313,ch8,366,270,ch9,214,157,ch10,249,179,ch11,275,202,t0, 0, t1, 0, t2, 0, t3, 0
0,-135,BH1730,ch0,17252,11534,ch1,18017,12806,ch2,16744,10399,ch3,20541,13038,ch4,19990,12652,ch5,20046,12303,ch6,610,451,ch7,466,340,ch8,389,283,ch9,255,185,ch10,302,216,ch11,343,248,t0, 0, t1, 0, t2, 0, t3, 0
0,-130,BH1730,ch0,15364,10375,ch1,15980,11298,ch2,14692,9249,ch3,22001,14023,ch4,21746,13829,ch5,21765,13379,ch6,572,437,ch7,492,357,ch8,386,288,ch9,291,209,ch10,342,242,ch11,390,280,t0, 0, t1, 0, t2, 0, t3, 0
0,-125,BH1730,ch0,13392,9013,ch1,13991,9352,ch2,12436,7407,ch3,23341,15393,ch4,23151,14570,ch5,23320,13973,ch6,469,363,ch7,407,308,ch8,338,256,ch9,337,242,ch10,391,277,ch11,440,315,t0, 0, t1, 0, t2, 0, t3, 0
