Field=Comment~String~Comment~270|Field=Description~String~Description~354|Field=Designator~String~Designator~352|Field=Footprint~String~Footprint~461|Field=LibRef~String~LibRef~161|Field=Quantity~Integer~Quantity~146|Field=Value~String~Value~167|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~main.PrjPcb|ReportField=ProjectFullPath~G:\Dropbox\Space\PW-Sat\pwsat2_suns\suns_2v0_pcb\main.PrjPcb|ReportField=Title~Bill of Materials For Project [main.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~278|ReportField=ReportTime~22:36:17|ReportField=ReportDate~2015-05-24|ReportField=ReportDateTime~2015-05-24 22:36:17|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Grzegorz Gajoch|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~10|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=Model~EM1|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=0.73:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=4200:PaperWidth=2970:Scale=100:PaperSource=15:PrintQuality=1200:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=A3:PaperIndex=8|ReportField=ProjectName~|ReportField=ResSerDig~100|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~10|ReportField=SheetTotal~16|ReportField=Time~|ReportField=Title~SunS - General Block Diagram|ReportField=VersionControl_RevNumber~|ReportField=Res~180R|ReportField=Rshunt~15|ReportField=DataSourceFileName~main.PrjPcb|ReportField=DataSourceFullPath~G:\Dropbox\Space\PW-Sat\pwsat2_suns\suns_2v0_pcb\main.PrjPcb
0603|Capacitor|C1, C2, C8, C9|SMD_Capacitor_0603|Cap1|4|22p
0603|Capacitor|C3, C27_RTD_interface1, C27_RTD_interface2, C28_RTD_interface1, C28_RTD_interface2, C30_RTD_interface1, C30_RTD_interface2|SMD_Capacitor_0603|Cap1, Cap, Cap, Cap, Cap, Cap, Cap|7|10n
Tantalum|Polarized Capacitor (Radial)|C5|Tantalum_cap_D|Cap Pol1|1|10u
0603|Capacitor|C6, C7, C10, C11, C12, C13, C14, C23_FLASH1, C23_FLASH2, C29_RTD_interface1, C29_RTD_interface2, C33, C34, C36_RTD_interface1, C36_RTD_interface2, C37_RTD_interface1, C37_RTD_interface2, C38, C39, C40, C41, C42, C45, C46, C47|SMD_Capacitor_0603|Cap1, Cap1, Cap, Cap, Cap, Cap, Cap, Cap1, Cap1, Cap, Cap, Cap, Cap, Cap1, Cap1, Cap1, Cap1, Cap1, Cap1, Cap1, Cap1, Cap1, Cap, Cap, Cap1|25|100n
0805|Capacitor|C15|SMD_Capacitor_0805|Cap|1|100nF
Tantalum|Polarized Capacitor (Radial)|C16, C17, C18, C19, C21, C31|Tantalum_cap_D|Cap Pol1|6|10u/50V
0603|Capacitor|C20|SMD_Capacitor_0603|Cap|1|100nF
Tantalum|Polarized Capacitor (Radial)|C22|Tantalum_cap_D|Cap Pol1|1|100u/10V
1206|Capacitor|C24, C25|SMD_Capacitor_1206|Cap|2|1u
1206|Capacitor|C26|SMD_Capacitor_1206|Cap|1|10u
Tantalum|Polarized Capacitor (Radial)|C32|Tantalum_cap_D|Cap Pol1|1|68u/16V
0805|Capacitor|C35|SMD_Capacitor_0805|Cap|1|1n
Cap|Capacitor|C43_LM601, C43_LM602, C43_LM603, C43_LM604, C44_LM601, C44_LM602, C44_LM603, C44_LM604|SMD_Capacitor_0603|Cap|8|100n
BAT165|Madium Power AF Schottky 750mA 40V Diode|D1|SOD323|BAT165|1|BAT165
Inductor|Inductor|L1, L2|SMD_Capacitor_0805|Inductor|2|10mH
UART|Header, 3-Pin|P1|HDR1X3|Header 3|1|
JTAG|Header, 5-Pin, Dual row|P2|HDR2X5|Header 5X2|1|
Sat I2C|Header, 2-Pin|P3|HDR1X2|Header 2|1|
Sat Power|Header, 3-Pin|P4|HDR1X3|Header 3|1|
